llc_name,property_address,mail_city,last_sale_value,ppp_loan_count,ppp_total_amount,ppp_total_forgiven,ppp_names,loan_locations,loan_statuses
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,SEAL BEACH,0.0,2,1128327.5,1137910.56,STEWART INDUSTRIES LLC,"Battle Creek, MI; BATTLE CREEK, MI",Paid in Full
TRIUMVIRATE LLC,21951 BROOKHURST ST,FOUNTAIN VALLEY,2800000.0,1,852740.0,859751.42,TRIUMVIRATE LLC,"Anchorage, AK",Paid in Full
LAZER LLC,7782 RONALD DR,INDIO,0.0,1,600000.0,,LAZER LLC,"SADDLE RIVER, NJ",Paid in Full
INCUPLACE LLC,88 FAIR DR,ALHAMBRA,,2,588619.0,593392.8,INCUPLACE LLC,"MARINA DEL REY, CA; Marina del Rey, CA",Paid in Full
NEWPORT LLC,4340 VON KARMAN AVE STE 205,DIAMOND BAR,,1,536590.0,540721.01,NEWPORT LLC,"SAN FRANCISCO, CA",Paid in Full
PACE RECOVERY CENTER LLC,528 16TH ST,COSTA MESA,1400000.0,1,510549.0,515612.53,PACE RECOVERY CENTER LLC,"NEWPORT BEACH, CA",Paid in Full
HB LLC,9472 RAMBLER DR,EDMONDS,1127000.0,3,444400.0,448372.27,HB LLC,"PROVIDENCE, RI; LONG BEACH, CA; Long Beach, CA",Paid in Full
RAV LLC,1 MAIN ST,SAN FRANCISCO,,2,392800.0,397374.6,RAV LLC,"MYRTLE BEACH, SC; Myrtle Beach, SC",Paid in Full
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,SANDY,385000.0,2,376000.0,,2450 COLORADO BLVD LLC,"Chatsworth, CA",Exemption 4
THE LE FAMILY LLC,16752 JEFFREY CIR,CORONA,0.0,2,366700.0,371325.67,THE LE FAMILY LLC,"Killeen, TX; KILLEEN, TX",Paid in Full
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,DANA POINT,,1,366554.0,369265.5,LIGHTHOUSE CAFE LLC,"Newport Beach, CA",Paid in Full
DRT LLC,16862 CORAL CAY LN,NEWPORT BEACH,0.0,1,357716.32,362048.12,DRT LLC,"ONTARIO, OR",Paid in Full
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,FOUNTAIN VALLEY,419000.0,1,279820.0,281636.91,COMPASSIONATE CARE HOSPICE LLC,"FOUNTAIN VALLEY, CA",Paid in Full
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 123,FOUNTAIN VALLEY,419000.0,1,279820.0,281636.91,COMPASSIONATE CARE HOSPICE LLC,"FOUNTAIN VALLEY, CA",Paid in Full
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,LAS VEGAS,1780000.0,3,237189.0,106245.66,DBS ENTERPRISES LLC,"Chugiak, AK; SANTA CLARA, CA",Paid in Full
RMI MANAGEMENT LLC,17191 KAMPEN LN,NEWPORT BEACH,620000.0,1,217702.0,220600.72,RMI MANAGEMENT LLC,"LONGVIEW, TX",Paid in Full
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,WESTMINSTER,0.0,1,205800.0,207040.44,FIRST HIGHLAND LLC,"Windermere, FL",Paid in Full
NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,NEWPORT BEACH,,1,115400.0,116402.24,NEWPORT BEACH GOLF COURSE LLC,"NEWPORT BEACH, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,SUNSET BEACH,1700000.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,"SUNSET BEACH, CA; Sunset Beach, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,SUNSET BEACH,0.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,"SUNSET BEACH, CA; Sunset Beach, CA",Paid in Full
